time,set rpm,read rpm,Kp,Ki,Kd
1,50,50,51,40,10
2,50,50,51,40,10
3,50,50,51,40,10
4,50,50,51,40,10
5,50,50,51,40,10
6,50,50,51,40,10
7,50,50,51,40,10
8,50,50,51,40,10
9,50,50,51,40,10
10,50,50,51,40,10
11,50,50,51,40,10
12,50,50,51,40,10
13,50,50,51,40,10
14,50,50,51,40,10
15,50,50,51,40,10
16,50,50,51,40,10
17,50,50,51,40,10
18,50,50,51,40,10
19,50,50,51,40,10
20,50,50,51,40,10
21,50,50,51,40,10
22,50,50,51,40,10
23,50,50,51,40,10
24,50,50,51,40,10
25,50,50,51,40,10
26,50,50,51,40,10
27,50,50,51,40,10
28,50,50,51,40,10
29,50,50,51,40,10
30,50,50,51,40,10
31,50,50,51,40,10
32,50,50,51,40,10
33,50,50,51,40,10
34,50,50,51,40,10
35,50,50,51,40,10
36,50,50,51,40,10
37,50,50,51,40,10
38,50,50,51,40,10
39,50,50,51,40,10
40,50,50,51,40,10
41,50,50,51,40,10
42,50,50,51,40,10
43,50,50,51,40,10
44,50,50,51,40,10
45,50,50,51,40,10
46,50,50,51,40,10
47,50,50,51,40,10
48,50,50,51,40,10
49,50,50,51,40,10
